timestamp,num_processes,matrix_size,algorithm,execution_time,speedup,efficiency
2025-11-25T18:15:19.401283,2,6000,COLUMN,0.201382,0.7317,36.5857
2025-11-25T18:15:19.401283,2,6000,BLOCK,0.222627,1.5830,79.1498
2025-11-25T18:15:20.877646,2,7000,ROW,0.190884,1.4317,71.5844
2025-11-25T18:15:20.877646,2,7000,COLUMN,0.304314,0.6776,33.8811
2025-11-25T18:15:20.877646,2,7000,BLOCK,0.353104,1.2293,61.4660
2025-11-25T18:15:23.361648,2,8000,ROW,0.302311,1.5638,78.1891
2025-11-25T18:15:23.361648,2,8000,COLUMN,0.323958,0.8320,41.5978
2025-11-25T18:15:23.361648,2,8000,BLOCK,0.414747,1.5003,75.0137
2025-11-25T18:15:26.478353,2,9000,ROW,0.285626,1.7247,86.2332
2025-11-25T18:15:26.478353,2,9000,COLUMN,0.405801,0.7485,37.4261
2025-11-25T18:15:26.478353,2,9000,BLOCK,0.535504,1.3070,65.3477
2025-11-25T18:15:30.806309,2,10000,ROW,0.429579,1.4535,72.6739
2025-11-25T18:15:30.806309,2,10000,COLUMN,0.960741,0.4031,20.1525
2025-11-25T18:15:30.806309,2,10000,BLOCK,0.721745,1.1528,57.6375
2025-11-25T18:15:37.566381,2,12000,ROW,1.152484,0.6861,34.3031
2025-11-25T18:15:37.566381,2,12000,COLUMN,1.078084,0.4892,24.4592
2025-11-25T18:15:37.566381,2,12000,BLOCK,1.344645,0.9302,46.5082
2025-11-25T18:15:45.581246,2,14000,ROW,1.104481,0.9219,46.0949
2025-11-25T18:15:45.581246,2,14000,COLUMN,1.125203,0.6826,34.1299
2025-11-25T18:15:45.581246,2,14000,BLOCK,1.558242,1.0696,53.4809
2025-11-25T18:15:55.144416,2,16000,ROW,1.470844,0.7999,39.9966
2025-11-25T18:15:55.144416,2,16000,COLUMN,1.662164,0.7040,35.2011
2025-11-25T18:15:55.144416,2,16000,BLOCK,2.116351,1.0437,52.1860
2025-11-25T18:16:08.840282,2,18000,ROW,2.315538,0.7957,39.7845
2025-11-25T18:16:08.840282,2,18000,COLUMN,2.409858,0.6097,30.4866
2025-11-25T18:16:08.840282,2,18000,BLOCK,2.655333,1.2989,64.9438
2025-11-25T18:16:27.049795,2,20000,ROW,3.295275,0.5339,26.6967
2025-11-25T18:16:27.049795,2,20000,COLUMN,4.209061,0.3392,16.9582
2025-11-25T18:16:27.049795,2,20000,BLOCK,3.534155,1.1538,57.6896
2025-11-25T18:16:27.380313,4,500,ROW,0.000917,1.4429,36.0719
2025-11-25T18:16:27.380313,4,500,COLUMN,0.001033,0.7963,19.9072
2025-11-25T18:16:27.380313,4,500,BLOCK,0.000304,6.9438,173.5946
2025-11-25T18:16:27.775358,4,1000,ROW,0.003344,1.6375,40.9369
2025-11-25T18:16:27.775358,4,1000,COLUMN,0.004323,1.0809,27.0222
2025-11-25T18:16:27.775358,4,1000,BLOCK,0.002965,1.9110,47.7742
2025-11-25T18:16:28.234132,4,2000,ROW,0.021947,0.9932,24.8297
2025-11-25T18:16:28.234132,4,2000,COLUMN,0.021308,0.7085,17.7122
2025-11-25T18:16:28.234132,4,2000,BLOCK,0.014247,1.5911,39.7769
2025-11-25T18:16:28.893771,4,3000,ROW,0.036062,1.2860,32.1506
2025-11-25T18:16:28.893771,4,3000,COLUMN,0.067787,0.4857,12.1417
2025-11-25T18:16:28.893771,4,3000,BLOCK,0.032640,2.4986,62.4651
2025-11-25T18:16:29.950662,4,4000,ROW,0.243862,0.2927,7.3179
2025-11-25T18:16:29.950662,4,4000,COLUMN,0.110995,0.6097,15.2434
2025-11-25T18:16:29.950662,4,4000,BLOCK,0.068498,2.2074,55.1851
2025-11-25T18:16:31.284925,4,5000,ROW,0.141742,1.5432,38.5796
2025-11-25T18:16:31.284925,4,5000,COLUMN,0.197329,0.5527,13.8182
2025-11-25T18:16:31.284925,4,5000,BLOCK,0.182893,1.3436,33.5902
2025-11-25T18:16:33.308774,4,6000,ROW,0.260073,0.4915,12.2882
2025-11-25T18:16:33.308774,4,6000,COLUMN,0.233622,0.6307,15.7684
2025-11-25T18:16:33.308774,4,6000,BLOCK,0.289184,1.2187,30.4666
2025-11-25T18:16:35.753081,4,7000,ROW,0.248808,1.0984,27.4595
2025-11-25T18:16:35.753081,4,7000,COLUMN,0.339269,0.6078,15.1952
2025-11-25T18:16:35.753081,4,7000,BLOCK,0.398423,1.0895,27.2372
2025-11-25T18:16:38.924875,4,8000,ROW,0.238366,1.9833,49.5823
2025-11-25T18:16:38.924875,4,8000,COLUMN,0.341543,0.7891,19.7280
2025-11-25T18:16:38.924875,4,8000,BLOCK,0.590121,1.0544,26.3604
2025-11-25T18:16:42.616752,4,9000,ROW,0.366871,1.3427,33.5682
2025-11-25T18:16:42.616752,4,9000,COLUMN,0.542072,0.5604,14.0088
2025-11-25T18:16:42.616752,4,9000,BLOCK,0.625133,1.1196,27.9892
2025-11-25T18:16:47.121708,4,10000,ROW,0.642377,0.9720,24.2997
2025-11-25T18:16:47.121708,4,10000,COLUMN,0.655621,0.5906,14.7657
2025-11-25T18:16:47.121708,4,10000,BLOCK,0.736452,1.1297,28.2433
2025-11-25T18:16:53.708629,4,12000,ROW,0.891862,0.8865,22.1636
2025-11-25T18:16:53.708629,4,12000,COLUMN,0.970295,0.5435,13.5882
2025-11-25T18:16:53.708629,4,12000,BLOCK,1.238809,1.0096,25.2408
2025-11-25T18:17:02.193281,4,14000,ROW,1.195541,0.8517,21.2920
2025-11-25T18:17:02.193281,4,14000,COLUMN,1.671299,0.4596,11.4890
2025-11-25T18:17:02.193281,4,14000,BLOCK,1.943789,0.8575,21.4365
2025-11-25T18:17:14.023127,4,16000,ROW,1.755294,0.6703,16.7575
2025-11-25T18:17:14.023127,4,16000,COLUMN,1.815567,0.6445,16.1134
2025-11-25T18:17:14.023127,4,16000,BLOCK,2.178068,1.0141,25.3537
2025-11-25T18:17:29.931380,4,18000,ROW,2.336484,0.7886,19.7139
2025-11-25T18:17:29.931380,4,18000,COLUMN,3.815133,0.3851,9.6286
2025-11-25T18:17:29.931380,4,18000,BLOCK,2.825963,1.2205,30.5113
2025-11-25T18:17:48.808303,4,20000,ROW,3.537540,0.4974,12.4342
2025-11-25T18:17:48.808303,4,20000,COLUMN,3.200938,0.4460,11.1495
2025-11-25T18:17:48.808303,4,20000,BLOCK,3.427250,1.1898,29.7445
2025-11-25T18:17:49.177170,8,500,ROW,0.000989,1.3381,16.7263
2025-11-25T18:17:49.177170,8,500,COLUMN,0.001045,0.7871,9.8392
2025-11-25T18:17:49.177170,8,500,BLOCK,0.000325,6.4945,81.1817
2025-11-25T18:17:49.550035,8,1000,ROW,0.003516,1.5576,19.4695
2025-11-25T18:17:49.550035,8,1000,COLUMN,0.004553,1.0262,12.8277
2025-11-25T18:17:49.550035,8,1000,BLOCK,0.002357,2.4041,30.0510
2025-11-25T18:17:50.044978,8,2000,ROW,0.022548,0.9667,12.0841
2025-11-25T18:17:50.044978,8,2000,COLUMN,0.030865,0.4891,6.1139
2025-11-25T18:17:50.044978,8,2000,BLOCK,0.013720,1.6522,20.6528
2025-11-25T18:17:50.729235,8,3000,ROW,0.050071,0.9262,11.5776
2025-11-25T18:17:50.729235,8,3000,COLUMN,0.066983,0.4915,6.1437
2025-11-25T18:17:50.729235,8,3000,BLOCK,0.027983,2.9145,36.4308
2025-11-25T18:17:51.847399,8,4000,ROW,0.138957,0.5137,6.4213
2025-11-25T18:17:51.847399,8,4000,COLUMN,0.122592,0.5521,6.9007
2025-11-25T18:17:51.847399,8,4000,BLOCK,0.056456,2.6783,33.4781
2025-11-25T18:17:53.207727,8,5000,ROW,0.173474,1.2609,15.7613
2025-11-25T18:17:53.207727,8,5000,COLUMN,0.155630,0.7008,8.7603
2025-11-25T18:17:53.207727,8,5000,BLOCK,0.084281,2.9157,36.4461
2025-11-25T18:17:55.477114,8,6000,ROW,0.304565,0.4197,5.2466
2025-11-25T18:17:55.477114,8,6000,COLUMN,0.328700,0.4483,5.6037
2025-11-25T18:17:55.477114,8,6000,BLOCK,0.322598,1.0924,13.6555
2025-11-25T18:17:58.660603,8,7000,ROW,0.302337,0.9039,11.2989
2025-11-25T18:17:58.660603,8,7000,COLUMN,0.724182,0.2847,3.5594
2025-11-25T18:17:58.660603,8,7000,BLOCK,0.590973,0.7345,9.1814
2025-11-25T18:18:01.956158,8,8000,ROW,0.594592,0.7951,9.9385
2025-11-25T18:18:01.956158,8,8000,COLUMN,0.567929,0.4746,5.9320
2025-11-25T18:18:01.956158,8,8000,BLOCK,0.712142,0.8738,10.9219
2025-11-25T18:18:06.683535,8,9000,ROW,0.763342,0.6453,8.0666
2025-11-25T18:18:06.683535,8,9000,COLUMN,0.735221,0.4131,5.1643
